time,CT6_1000_1,CT6_1000_2,CT6_1000_3,CT6_600_1,CT6_600_2,CT6_600_3,CT6_800_1,CT6_800_2,CT6_800_3
247,108219,115113,115113,108219,108219,108219,115113,115113,115113
248,108219,115113,115113,108219,108219,108219,115113,115113,115113
249,108219,115113,115113,108219,108219,108219,115113,115113,115113
250,108219,115113,115113,108219,108219,108219,115113,115113,115113
251,108219,115113,115113,108219,108219,108219,115113,115113,115113
252,108219,108219,115113,108219,108219,108219,115113,115113,115113
253,108219,108219,115113,108219,108219,108219,115113,115113,115113
254,108219,108219,115113,108219,108219,108219,108219,115113,115113
255,108219,108219,115113,108219,108219,108219,108219,108219,115113
256,108219,108219,115113,108219,108219,108219,108219,108219,108219
257,108219,108219,115113,108219,108219,108219,108219,108219,108219
258,108219,108219,115113,108219,108219,108219,108219,108219,108219
259,108219,108219,115113,108219,108219,108219,108219,108219,108219
260,108219,108219,115113,108219,108219,108219,108219,108219,108219
261,108219,108219,108219,108219,108219,108219,108219,108219,108219
262,108219,108219,108219,108219,108219,108219,108219,108219,108219
263,108219,108219,108219,108219,108219,108219,108219,108219,108219
264,108219,108219,108219,108219,108219,108219,108219,108219,108219
265,108219,108219,108219,108219,108219,108219,108219,108219,108219
266,108219,108219,108219,108219,108219,108219,108219,108219,108219
267,108219,108219,108219,108219,108219,108219,108219,108219,108219
268,108219,108219,108219,108219,108219,108219,108219,108219,108219
269,108219,108219,108219,108219,108219,108219,108219,108219,108219
270,108219,108219,108219,108219,108219,108219,108219,108219,108219
271,101325,108219,108219,108219,108219,108219,108219,108219,108219
271,101325,108219,108219,108219,108219,108219,108219,108219,108219
271,101325,108219,108219,108219,108219,108219,108219,108219,108219
271,101325,108219,108219,108219,108219,108219,108219,108219,108219
271,101325,108219,108219,108219,108219,108219,108219,108219,108219
271,101325,108219,108219,108219,108219,108219,108219,108219,108219
271,101325,108219,108219,108219,108219,108219,108219,108219,108219
271,101325,108219,108219,108219,108219,108219,108219,108219,108219
271,101325,108219,108219,108219,108219,108219,108219,108219,108219
271,101325,108219,108219,108219,108219,108219,108219,108219,108219
