time,CT4_600_1,CT4_600_2,CT4_600_3,CT4_800_1,CT4_800_2,CT4_800_3,CT4_1000_1,CT4_1000_2
429,101325,156477,177159,321933,321933,335721,390873,404661
430,101325,156477,177159,321933,321933,328827,390873,404661
431,101325,156477,177159,321933,321933,328827,383979,404661
432,101325,156477,177159,315039,321933,328827,383979,397767
433,101325,156477,177159,315039,315039,328827,383979,397767
434,101325,101325,177159,315039,315039,328827,383979,397767
435,101325,101325,177159,315039,315039,328827,383979,397767
436,101325,101325,177159,315039,315039,328827,383979,397767
437,101325,101325,177159,315039,315039,328827,383979,397767
438,101325,101325,177159,315039,315039,328827,383979,397767
439,101325,101325,177159,315039,315039,321933,377085,390873
440,101325,101325,177159,315039,315039,321933,377085,390873
441,101325,101325,177159,308145,315039,321933,377085,390873
442,101325,101325,177159,308145,308145,321933,377085,390873
443,101325,101325,177159,308145,308145,321933,377085,390873
444,101325,101325,177159,308145,308145,321933,377085,390873
445,101325,101325,177159,308145,308145,321933,377085,390873
446,101325,101325,177159,308145,308145,321933,370191,383979
447,101325,101325,177159,308145,308145,321933,370191,383979
448,101325,101325,170265,308145,308145,315039,370191,383979
449,101325,101325,170265,308145,308145,315039,370191,383979
450,101325,101325,170265,308145,308145,315039,370191,383979
451,101325,101325,170265,301251,308145,315039,370191,383979
452,101325,101325,170265,301251,301251,315039,370191,383979
453,101325,101325,170265,301251,301251,315039,370191,377085
454,101325,101325,170265,301251,301251,315039,363297,377085
455,101325,101325,170265,301251,301251,315039,363297,377085
456,101325,101325,170265,301251,301251,315039,363297,377085
457,101325,101325,170265,301251,301251,308145,363297,377085
458,101325,101325,170265,301251,301251,308145,363297,377085
459,101325,101325,170265,301251,301251,308145,363297,377085
460,101325,101325,170265,294357,301251,308145,363297,377085
461,101325,101325,170265,294357,301251,308145,363297,370191
462,101325,101325,170265,294357,294357,308145,356403,370191
463,101325,101325,170265,294357,294357,308145,356403,370191
464,101325,101325,170265,294357,294357,308145,356403,370191
465,101325,101325,170265,294357,294357,308145,356403,370191
466,101325,101325,170265,294357,294357,308145,356403,370191
467,101325,101325,170265,294357,294357,308145,356403,370191
468,101325,101325,170265,294357,294357,301251,356403,370191
469,101325,101325,170265,294357,294357,301251,356403,363297
470,101325,101325,170265,294357,294357,301251,356403,363297
471,101325,101325,163371,287463,294357,301251,349509,363297
472,101325,101325,163371,287463,287463,301251,349509,363297
473,101325,101325,163371,287463,287463,301251,349509,363297
474,101325,101325,163371,287463,287463,301251,349509,363297
475,101325,101325,163371,287463,287463,301251,349509,363297
476,101325,101325,163371,287463,287463,301251,349509,363297
477,101325,101325,163371,287463,287463,301251,349509,363297
478,101325,101325,163371,287463,287463,294357,349509,356403
479,101325,101325,163371,287463,287463,294357,349509,356403
480,101325,101325,163371,287463,287463,294357,342615,356403
481,101325,101325,163371,280569,287463,294357,342615,356403
