time,CT5_1000_3,CT5_800_1,CT5_800_2
933,721785,645951,659739
934,721785,645951,652845
935,721785,639057,652845
936,721785,639057,652845
937,721785,639057,652845
938,714891,639057,652845
939,714891,639057,652845
940,714891,639057,652845
941,714891,639057,652845
942,714891,639057,652845
943,714891,639057,645951
944,714891,632163,645951
945,707997,632163,645951
946,707997,632163,645951
947,707997,632163,645951
948,707997,632163,645951
949,707997,632163,645951
950,707997,632163,645951
951,707997,632163,645951
952,707997,632163,639057
953,701103,625269,639057
954,701103,625269,639057
955,701103,625269,639057
956,701103,625269,639057
957,701103,625269,639057
958,701103,625269,639057
959,701103,625269,639057
960,701103,625269,639057
961,701103,625269,639057
962,694209,625269,632163
963,694209,618375,632163
964,694209,618375,632163
965,694209,618375,632163
966,694209,618375,632163
967,694209,618375,632163
968,694209,618375,632163
969,694209,618375,632163
970,687315,618375,632163
971,687315,618375,625269
972,687315,611481,625269
973,687315,611481,625269
974,687315,611481,625269
975,687315,611481,625269
976,687315,611481,625269
977,687315,611481,625269
978,680421,611481,625269
979,680421,611481,625269
980,680421,611481,625269
981,680421,611481,618375
982,680421,611481,618375
983,680421,604587,618375
984,680421,604587,618375
985,680421,604587,618375
986,680421,604587,618375
987,673527,604587,618375
988,673527,604587,618375
989,673527,604587,618375
990,673527,604587,618375
991,673527,604587,611481
992,673527,604587,611481
993,673527,597693,611481
994,673527,597693,611481
995,673527,597693,611481
996,666633,597693,611481
997,666633,597693,611481
998,666633,597693,611481
999,666633,597693,611481
1000,666633,597693,611481
1001,666633,597693,611481
1002,666633,597693,604587
1003,666633,590799,604587
1004,666633,590799,604587
1005,659739,590799,604587
1006,659739,590799,604587
1007,659739,590799,604587
1008,659739,590799,604587
1009,659739,590799,604587
1010,659739,590799,604587
1011,659739,590799,604587
1012,659739,590799,597693
1013,659739,590799,597693
1014,652845,583905,597693
1015,652845,583905,597693
1016,652845,583905,597693
1017,652845,583905,597693
1018,652845,583905,597693
1019,652845,583905,597693
1020,652845,583905,597693
1021,652845,583905,597693
1022,652845,583905,597693
1023,645951,583905,590799
1024,645951,583905,590799
1025,645951,577011,590799
1026,645951,577011,590799
1027,645951,577011,590799
1028,645951,577011,590799
1029,645951,577011,590799
1030,645951,577011,590799
1031,645951,577011,590799
1032,645951,577011,590799
1033,639057,577011,590799
1034,639057,577011,583905
1035,639057,577011,583905
1036,639057,570117,583905
1037,639057,570117,583905
1038,639057,570117,583905
1039,639057,570117,583905
1040,639057,570117,583905
1041,639057,570117,583905
1042,639057,570117,583905
1043,632163,570117,583905
1044,632163,570117,583905
1045,632163,570117,577011
1046,632163,570117,577011
1047,632163,563223,577011
1048,632163,563223,577011
1049,632163,563223,577011
1050,632163,563223,577011
1051,632163,563223,577011
1052,625269,563223,577011
1053,625269,563223,577011
1054,625269,563223,577011
1055,625269,563223,577011
1056,625269,563223,570117
1057,625269,563223,570117
1058,625269,563223,570117
1059,625269,556329,570117
1060,625269,556329,570117
1061,625269,556329,570117
1062,618375,556329,570117
1063,618375,556329,570117
1064,618375,556329,570117
1065,618375,556329,570117
1066,618375,556329,570117
1067,618375,556329,563223
1068,618375,556329,563223
1069,618375,556329,563223
1070,618375,556329,563223
1071,618375,549435,563223
1072,618375,549435,563223
1073,611481,549435,563223
1074,611481,549435,563223
1075,611481,549435,563223
